t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8192,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8193,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8194,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8195,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8196,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8197,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8198,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8199,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8200,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8201,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8202,,0.4125,80,79.0,30.0,,,0.4050632911392405,0.4177215189873418,0.00627076128621132
8203,,0.39999999999999997,80,79.0,30.0,,,0.3924050632911392,0.4050632911392405,0.0062403647849450265
8204,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8205,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8206,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8207,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8208,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8209,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8210,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8211,,0.3875,80,79.0,30.0,,,0.379746835443038,0.3924050632911392,0.006205735432790248
8212,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8213,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8214,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8215,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8216,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
8217,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8218,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8219,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8220,,0.375,80,79.0,30.0,,,0.3670886075949367,0.379746835443038,0.006166801922104097
8221,,0.3625,80,79.0,30.0,,,0.35443037974683544,0.3670886075949367,0.0061234821550500374
